selection,parameter,value,unit,source_type,source_detail,code_path,line,declaration_kind
complete-only,config.layer2_pathology.optimization.mutation_rate,0.1,fraction,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.population_size,20,individuals,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.clearance_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.phosphorylation_rate,0.08,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.tangle_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.backend,mock,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.max_tokens,1024,tokens,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.model_name,mock-model,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.temperature,0.7,dimensionless,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.simulation.dt,0.01,simulation-time unit,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.simulation.seed,42,integer seed,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.simulation.steps,1000,steps,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_inflammation.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_inflammation,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_pkpd,False,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_spatial,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.glutamate_uptake_rate,0.8,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.initial_reactivity,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.activation_threshold,0.5,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.initial_nfkb,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_calcium,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_tau_p,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_viability,1.0,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.decay_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.diffusion_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.height,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.width,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.aggregation_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.clearance_rate,0.02,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.production_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_agg,0.05,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_clear,0.02,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_plaque,0.01,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_prod,0.1,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.channel_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.leak_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.pump_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.generations,50,generations,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.mutation_rate,0.1,fraction,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.population_size,20,individuals,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.clearance_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.phosphorylation_rate,0.08,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.tangle_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.backend,mock,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.max_tokens,1024,tokens,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.model_name,mock-model,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.temperature,0.7,dimensionless,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.simulation.dt,0.01,simulation-time unit,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.simulation.seed,42,integer seed,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.simulation.steps,1000,steps,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_pkpd.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_inflammation,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_pkpd,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_spatial,False,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.glutamate_uptake_rate,0.8,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.initial_reactivity,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.activation_threshold,0.5,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.initial_nfkb,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_calcium,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_tau_p,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_viability,1.0,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.decay_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.diffusion_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.height,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.width,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.aggregation_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.clearance_rate,0.02,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.production_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_agg,0.05,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_clear,0.02,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_plaque,0.01,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_prod,0.1,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.channel_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.leak_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.pump_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.generations,50,generations,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.mutation_rate,0.1,fraction,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.population_size,20,individuals,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.clearance_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.phosphorylation_rate,0.08,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.tangle_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.backend,mock,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.max_tokens,1024,tokens,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.model_name,mock-model,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.temperature,0.7,dimensionless,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.simulation.dt,0.01,simulation-time unit,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.simulation.seed,42,integer seed,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.simulation.steps,1000,steps,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/ablation_no_spatial.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_inflammation,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_pkpd,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.ablation.enable_spatial,True,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.glutamate_uptake_rate,0.8,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.astrocyte.initial_reactivity,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.activation_threshold,0.5,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.microglia.initial_nfkb,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_calcium,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_tau_p,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer0_cell.neuron.initial_viability,1.0,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.decay_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.diffusion_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.height,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer1_tissue.environment.width,50,grid cells,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.aggregation_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.clearance_rate,0.02,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.abeta.production_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_agg,0.05,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_clear,0.02,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_plaque,0.01,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.amyloid.k_prod,0.1,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.channel_rate,0.1,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.leak_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.ode.calcium.pump_rate,0.05,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.generations,50,generations,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.mutation_rate,0.1,fraction,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.optimization.population_size,20,individuals,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.clearance_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.phosphorylation_rate,0.08,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer2_pathology.tau.tangle_rate,0.01,code-normalized / not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
complete-only,config.layer3_orchestrator.llm.backend,mock,not explicitly declared,configuration default,Value declared in executable code; no direct literature provenance encoded for this declaration.,configs/default.yaml,0,YAML configuration leaf
